id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Moonlight Sonata,Ludwig Ensemble,classical,dramatic,0.30,54,0.21,0.25,0.98
12,Thunderous Wrath,Iron Sledge,metal,aggressive,0.95,175,0.15,0.38,0.01
13,Sunny Harbor,The Reefers,reggae,groovy,0.58,92,0.88,0.81,0.32
14,Concrete Poetry,MC Rhyme,hip hop,confident,0.72,96,0.68,0.85,0.15
15,Delta Tears,Blind Dog Willie,blues,soulful,0.44,82,0.38,0.52,0.76
16,Starlight Dance,Cosmic Beat,edm,ecstatic,0.89,128,0.74,0.78,0.08
17,Autumn Wind,Fable & Fern,folk,nostalgic,0.31,85,0.52,0.57,0.88
18,Desolate Dunes,Ksar,world,mystical,0.48,104,0.43,0.64,0.81
